Country/Region,Date,Daily Confirmed,Daily Confirmed Smooth (7 days),Daily Deaths,Daily Deaths Smooth (7 days)
Spain,2020-03-21,4964,2711.8571428571427,332,168.57142857142858
Spain,2020-03-22,3394,2995.714285714286,397,211.85714285714286
Spain,2020-03-23,6368,3599.1428571428573,539,281.2857142857143
Spain,2020-03-24,4749,4019.5714285714284,497,325.0
Spain,2020-03-25,9630,5086.428571428572,839,432.0
Spain,2020-03-26,8271,5689.0,718,505.0
Spain,2020-03-27,7933,6472.714285714285,773,585.0
Spain,2020-03-28,7516,6837.285714285715,844,658.1428571428571
Spain,2020-03-29,6875,7334.571428571428,821,718.7142857142857
Spain,2020-03-30,7846,7545.714285714285,913,772.1428571428571
Spain,2020-03-31,7967,8005.428571428572,748,808.0
Spain,2020-04-01,8195,7800.428571428572,923,820.0
Spain,2020-04-02,7947,7754.142857142857,961,854.7142857142857
Spain,2020-04-03,7134,7640.0,850,865.7142857142857
Spain,2020-04-04,6969,7561.857142857143,749,852.1428571428571
Spain,2020-04-05,5478,7362.285714285715,694,834.0
Spain,2020-04-06,5029,6959.857142857143,700,803.5714285714286
Spain,2020-04-07,5267,6574.142857142857,704,797.2857142857143
Spain,2020-04-08,6278,6300.285714285715,747,772.1428571428571
Spain,2020-04-09,5002,5879.571428571428,655,728.4285714285714
Spain,2020-04-10,5051,5582.0,634,697.5714285714286
Spain,2020-04-11,4754,5265.571428571428,525,665.5714285714286
Spain,2020-04-12,3804,5026.428571428572,603,652.5714285714286
Spain,2020-04-13,3268,4774.857142857143,547,630.7142857142857
Spain,2020-04-14,2442,4371.285714285715,300,573.0
Spain,2020-04-15,5103,4203.428571428572,652,559.4285714285714
Spain,2020-04-16,7304,4532.285714285715,607,552.5714285714286
Spain,2020-04-17,5891,4652.285714285715,687,560.1428571428571
Spain,2020-04-18,887,4099.857142857143,41,491.0
Spain,2020-04-19,6948,4549.0,410,463.42857142857144
Spain,2020-04-20,1536,4301.571428571428,399,442.2857142857143
Spain,2020-04-21,3968,4519.571428571428,430,460.85714285714283
Spain,2020-04-22,4211,4392.142857142857,435,429.85714285714283
Spain,2020-04-23,4635,4010.8571428571427,440,406.0
Spain,2020-04-24,0,3169.285714285714,367,360.2857142857143
Spain,2020-04-25,2915,3459.0,378,408.42857142857144
Spain,2020-04-26,1729,2713.4285714285716,288,391.0
Spain,2020-04-27,1831,2755.5714285714284,331,381.2857142857143
Spain,2020-04-28,1308,2375.5714285714284,301,362.85714285714283
Spain,2020-04-29,2144,2080.285714285714,453,365.42857142857144
Spain,2020-04-30,518,1492.142857142857,268,340.85714285714283
Spain,2020-05-01,1781,1746.5714285714287,0,288.42857142857144
Spain,2020-05-02,1366,1525.2857142857142,557,314.0
Spain,2020-05-03,884,1404.5714285714287,164,296.2857142857143
Spain,2020-05-04,545,1220.857142857143,164,272.42857142857144
Spain,2020-05-05,1318,1222.2857142857142,185,255.85714285714286
Spain,2020-05-06,996,1058.2857142857142,244,226.0
Spain,2020-05-07,1122,1144.5714285714287,213,218.14285714285714
Spain,2020-05-08,1410,1091.5714285714287,229,250.85714285714286
Spain,2020-05-09,721,999.4285714285714,179,196.85714285714286
Spain,2020-05-10,772,983.4285714285714,143,193.85714285714286
Spain,2020-05-11,3086,1346.4285714285713,123,188.0
Spain,2020-05-12,594,1243.0,176,186.71428571428572
Spain,2020-05-13,661,1195.142857142857,184,178.14285714285714
Spain,2020-05-14,849,1156.142857142857,217,178.71428571428572
Spain,2020-05-15,643,1046.5714285714287,138,165.71428571428572
Spain,2020-05-16,515,1017.1428571428571,104,155.0
Spain,2020-05-17,0,906.8571428571429,0,134.57142857142858
Spain,2020-05-18,908,595.7142857142857,146,137.85714285714286
Spain,2020-05-19,431,572.4285714285714,69,122.57142857142857
Spain,2020-05-20,518,552.0,110,112.0
Spain,2020-05-21,482,499.57142857142856,52,88.42857142857143
Spain,2020-05-22,1787,663.0,688,167.0
Spain,2020-05-23,466,656.0,50,159.28571428571428
Spain,2020-05-24,482,724.8571428571429,74,169.85714285714286
Spain,2020-05-25,0,595.1428571428571,0,149.0
Spain,2020-05-26,859,656.2857142857143,283,179.57142857142858
Spain,2020-05-27,0,582.2857142857143,0,163.85714285714286
Spain,2020-05-28,1647,748.7142857142857,2,156.71428571428572
Spain,2020-05-29,658,587.4285714285714,2,58.714285714285715
Spain,2020-05-30,664,615.7142857142857,4,52.142857142857146
Spain,2020-05-31,251,582.7142857142857,2,41.857142857142854
Spain,2020-06-01,159,605.4285714285714,0,41.857142857142854
Spain,2020-06-02,294,524.7142857142857,0,1.4285714285714286
Spain,2020-06-03,394,581.0,1,1.5714285714285714
Spain,2020-06-04,334,393.42857142857144,5,2.0
Spain,2020-06-05,318,344.85714285714283,1,1.8571428571428572
Spain,2020-06-06,332,297.42857142857144,1,1.4285714285714286
Spain,2020-06-07,240,295.85714285714283,1,1.2857142857142858
Spain,2020-06-08,167,297.0,0,1.2857142857142858
Spain,2020-06-09,249,290.57142857142856,0,1.2857142857142858
Spain,2020-06-10,314,279.14285714285717,0,1.1428571428571428
Spain,2020-06-11,427,292.42857142857144,0,0.42857142857142855
Spain,2020-06-12,502,318.7142857142857,0,0.2857142857142857
Spain,2020-06-13,396,327.85714285714283,0,0.14285714285714285
Spain,2020-06-14,323,339.7142857142857,0,0.0
Spain,2020-06-15,181,341.7142857142857,0,0.0
Spain,2020-06-16,219,337.42857142857144,0,0.0
Spain,2020-06-17,355,343.2857142857143,0,0.0
Spain,2020-06-18,585,365.85714285714283,0,0.0
Spain,2020-06-19,307,338.0,1179,168.42857142857142
Spain,2020-06-20,363,333.2857142857143,7,169.42857142857142
Spain,2020-06-21,334,334.85714285714283,1,169.57142857142858
Spain,2020-06-22,232,342.14285714285717,1,169.71428571428572
Spain,2020-06-23,248,346.2857142857143,1,169.85714285714286
Spain,2020-06-24,334,343.2857142857143,2,170.14285714285714
Spain,2020-06-25,400,316.85714285714283,3,170.57142857142858
Spain,2020-06-26,419,332.85714285714283,8,3.2857142857142856
Spain,2020-06-27,564,361.57142857142856,3,2.7142857142857144
Spain,2020-06-28,301,356.85714285714283,2,2.857142857142857
Spain,2020-06-29,200,352.2857142857143,3,3.142857142857143
Spain,2020-06-30,301,359.85714285714283,9,4.285714285714286
Spain,2020-07-01,388,367.57142857142856,9,5.285714285714286
Spain,2020-07-02,444,373.85714285714283,4,5.428571428571429
Spain,2020-07-03,442,377.14285714285717,17,6.714285714285714
Spain,2020-07-04,0,296.57142857142856,0,6.285714285714286
Spain,2020-07-05,0,253.57142857142858,0,6.0
Spain,2020-07-06,1244,402.7142857142857,3,6.0
Spain,2020-07-07,341,408.42857142857144,4,5.285714285714286
Spain,2020-07-08,383,407.7142857142857,4,4.571428571428571
Spain,2020-07-09,543,421.85714285714283,5,4.714285714285714
Spain,2020-07-10,852,480.42857142857144,2,2.5714285714285716
Spain,2020-07-11,0,480.42857142857144,0,2.5714285714285716
Spain,2020-07-12,0,480.42857142857144,0,2.5714285714285716
Spain,2020-07-13,2045,594.8571428571429,3,2.5714285714285716
Spain,2020-07-14,666,641.2857142857143,3,2.4285714285714284
Spain,2020-07-15,875,711.5714285714286,4,2.4285714285714284
Spain,2020-07-16,1361,828.4285714285714,3,2.142857142857143
Spain,2020-07-17,1400,906.7142857142857,4,2.4285714285714284
Spain,2020-07-18,0,906.7142857142857,0,2.4285714285714284
Spain,2020-07-19,0,906.7142857142857,0,2.4285714285714284
Spain,2020-07-20,4581,1269.0,2,2.2857142857142856
Spain,2020-07-21,1358,1367.857142857143,2,2.142857142857143
Spain,2020-07-22,1357,1436.7142857142858,2,1.8571428571428572
Spain,2020-07-23,2615,1615.857142857143,3,1.8571428571428572
Spain,2020-07-24,2255,1738.0,3,1.7142857142857142
Spain,2020-07-25,0,1738.0,0,1.7142857142857142
Spain,2020-07-26,0,1738.0,0,1.7142857142857142
Spain,2020-07-27,6361,1992.2857142857142,2,1.7142857142857142
Spain,2020-07-28,1828,2059.4285714285716,2,1.7142857142857142
Spain,2020-07-29,2031,2155.714285714286,5,2.142857142857143
Spain,2020-07-30,2789,2180.5714285714284,2,2.0
Spain,2020-07-31,3092,2300.1428571428573,2,1.8571428571428572
Spain,2020-08-01,0,2300.1428571428573,0,1.8571428571428572
Spain,2020-08-02,0,2300.1428571428573,0,1.8571428571428572
Spain,2020-08-03,8532,2610.285714285714,27,5.428571428571429
Spain,2020-08-04,5760,3172.0,26,8.857142857142858
Spain,2020-08-05,2953,3303.714285714286,1,8.285714285714286
Spain,2020-08-06,4088,3489.285714285714,1,8.142857142857142
Spain,2020-08-07,4507,3691.4285714285716,3,8.285714285714286
Spain,2020-08-08,0,3691.4285714285716,0,8.285714285714286
Spain,2020-08-09,0,3691.4285714285716,0,8.285714285714286
Spain,2020-08-10,8618,3703.714285714286,73,14.857142857142858
Spain,2020-08-11,3632,3399.714285714286,5,11.857142857142858
Spain,2020-08-12,3172,3431.0,0,11.714285714285714
Spain,2020-08-13,7550,3925.5714285714284,26,15.285714285714286
Spain,2020-08-14,5479,4064.4285714285716,12,16.571428571428573
Spain,2020-08-15,0,4064.4285714285716,0,16.571428571428573
Spain,2020-08-16,0,4064.4285714285716,0,16.571428571428573
Spain,2020-08-17,16269,5157.428571428572,29,10.285714285714286
Spain,2020-08-18,5114,5369.142857142857,24,13.0
Spain,2020-08-19,6671,5869.0,127,31.142857142857142
Spain,2020-08-20,7039,5796.0,16,29.714285714285715
Spain,2020-08-21,8148,6177.285714285715,25,31.571428571428573
Spain,2020-08-22,0,6177.285714285715,0,31.571428571428573
Spain,2020-08-23,0,6177.285714285715,0,31.571428571428573
Spain,2020-08-24,19382,6622.0,34,32.285714285714285
Spain,2020-08-25,7117,6908.142857142857,52,36.285714285714285
Spain,2020-08-26,7296,6997.428571428572,47,24.857142857142858
Spain,2020-08-27,9658,7371.571428571428,25,26.142857142857142
Spain,2020-08-28,9779,7604.571428571428,15,24.714285714285715
Spain,2020-08-29,0,7604.571428571428,0,24.714285714285715
Spain,2020-08-30,0,7604.571428571428,0,24.714285714285715
Spain,2020-08-31,23572,8203.142857142857,83,31.714285714285715
Spain,2020-09-01,8115,8345.714285714286,58,32.57142857142857
Spain,2020-09-02,8581,8529.285714285714,42,31.857142857142858
Spain,2020-09-03,8959,8429.42857142857,40,34.0
Spain,2020-09-04,10476,8529.0,184,58.142857142857146
Spain,2020-09-05,0,8529.0,0,58.142857142857146
Spain,2020-09-06,0,8529.0,0,58.142857142857146
Spain,2020-09-07,26560,8955.857142857143,98,60.285714285714285
Spain,2020-09-08,8964,9077.142857142857,78,63.142857142857146
Spain,2020-09-09,8866,9117.857142857143,34,62.0
Spain,2020-09-10,10764,9375.714285714286,71,66.42857142857143
Spain,2020-09-11,12183,9619.57142857143,48,47.0
Spain,2020-09-12,0,9619.57142857143,0,47.0
Spain,2020-09-13,0,9619.57142857143,0,47.0
Spain,2020-09-14,27404,9740.142857142857,101,47.42857142857143
Spain,2020-09-15,9437,9807.714285714286,156,58.57142857142857
Spain,2020-09-16,11193,10140.142857142857,239,87.85714285714286
Spain,2020-09-17,11291,10215.42857142857,162,100.85714285714286
Spain,2020-09-18,14389,10530.57142857143,90,106.85714285714286
Spain,2020-09-19,0,10530.57142857143,0,106.85714285714286
Spain,2020-09-20,0,10530.57142857143,0,106.85714285714286
Spain,2020-09-21,31428,11105.42857142857,168,116.42857142857143
Spain,2020-09-22,10799,11300.0,241,128.57142857142858
Spain,2020-09-23,11289,11313.714285714286,130,113.0
Spain,2020-09-24,10653,11222.57142857143,84,101.85714285714286
Spain,2020-09-25,12272,10920.142857142857,114,105.28571428571429
Spain,2020-09-26,0,10920.142857142857,0,105.28571428571429
Spain,2020-09-27,0,10920.142857142857,0,105.28571428571429
Spain,2020-09-28,31785,10971.142857142857,179,106.85714285714286
Spain,2020-09-29,0,9428.42857142857,0,72.42857142857143
Spain,2020-09-30,20922,10804.57142857143,380,108.14285714285714
Spain,2020-10-01,9419,10628.285714285714,182,122.14285714285714
Spain,2020-10-02,11325,10493.0,113,122.0
Spain,2020-10-03,0,10493.0,0,122.0
Spain,2020-10-04,0,10493.0,0,122.0
Spain,2020-10-05,23480,9306.57142857143,139,116.28571428571429
Spain,2020-10-06,11998,11020.57142857143,261,153.57142857142858
Spain,2020-10-07,10491,9530.42857142857,76,110.14285714285714
Spain,2020-10-08,12423,9959.57142857143,126,102.14285714285714
Spain,2020-10-09,12788,10168.57142857143,241,120.42857142857143
Spain,2020-10-10,0,10168.57142857143,0,120.42857142857143
Spain,2020-10-11,0,10168.57142857143,0,120.42857142857143
Spain,2020-10-12,27856,10793.714285714286,195,128.42857142857142
Spain,2020-10-13,7118,10096.57142857143,80,102.57142857142857
Spain,2020-10-14,11970,10307.857142857143,209,121.57142857142857
Spain,2020-10-15,13318,10435.714285714286,140,123.57142857142857
Spain,2020-10-16,15186,10778.285714285714,222,120.85714285714286
Spain,2020-10-17,0,10778.285714285714,0,120.85714285714286
Spain,2020-10-18,0,10778.285714285714,0,120.85714285714286
Spain,2020-10-19,37889,12211.57142857143,217,124.0
Spain,2020-10-20,13873,13176.57142857143,218,143.71428571428572
Spain,2020-10-21,16973,13891.285714285714,156,136.14285714285714
Spain,2020-10-22,20986,14986.714285714286,155,138.28571428571428
Spain,2020-10-23,19851,15653.142857142857,231,139.57142857142858
Spain,2020-10-24,0,15653.142857142857,0,139.57142857142858
Spain,2020-10-25,0,15653.142857142857,0,139.57142857142858
Spain,2020-10-26,52188,17695.85714285714,279,148.42857142857142
Spain,2020-10-27,18418,18345.14285714286,267,155.42857142857142
Spain,2020-10-28,19765,18744.0,168,157.14285714285714
Spain,2020-10-29,23580,19114.571428571428,173,159.71428571428572
Spain,2020-10-30,25595,19935.14285714286,239,160.85714285714286
Spain,2020-10-31,0,19935.14285714286,0,160.85714285714286
Spain,2020-11-01,0,19935.14285714286,0,160.85714285714286
Spain,2020-11-02,55019,20339.571428571428,379,175.14285714285714
Spain,2020-11-03,18669,20375.428571428572,238,171.0
Spain,2020-11-04,25042,21129.285714285714,1623,378.85714285714283
Spain,2020-11-05,21908,20890.428571428572,368,406.7142857142857
Spain,2020-11-06,22516,20450.571428571428,347,422.14285714285717
Spain,2020-11-07,0,20450.571428571428,0,422.14285714285717
Spain,2020-11-08,0,20450.571428571428,0,422.14285714285717
Spain,2020-11-09,52386,20074.428571428572,512,441.14285714285717
Spain,2020-11-10,0,17407.428571428572,0,407.14285714285717
Spain,2020-11-11,36491,19043.0,760,283.85714285714283
Spain,2020-11-12,19511,18700.571428571428,356,282.14285714285717
Spain,2020-11-13,21371,18537.0,308,276.57142857142856
Spain,2020-11-14,0,18537.0,0,276.57142857142856
Spain,2020-11-15,0,18537.0,0,276.57142857142856
Spain,2020-11-16,38273,16520.85714285714,484,272.57142857142856
Spain,2020-11-17,13159,18400.714285714286,435,334.7142857142857
Spain,2020-11-18,15318,15376.0,351,276.2857142857143
Spain,2020-11-19,16233,14907.714285714286,252,261.42857142857144
Spain,2020-11-20,15156,14019.857142857143,328,264.2857142857143
Spain,2020-11-21,0,14019.857142857143,0,264.2857142857143
Spain,2020-11-22,0,14019.857142857143,0,264.2857142857143
Spain,2020-11-23,25886,12250.285714285714,512,268.2857142857143
Spain,2020-11-24,12228,12117.285714285714,537,282.85714285714283
Spain,2020-11-25,10222,11389.285714285714,369,285.42857142857144
Spain,2020-11-26,12289,10825.857142857143,337,297.57142857142856
Spain,2020-11-27,10853,10211.142857142857,294,292.7142857142857
Spain,2020-11-28,0,10211.142857142857,0,292.7142857142857
Spain,2020-11-29,0,10211.142857142857,0,292.7142857142857
Spain,2020-11-30,19979,9367.285714285714,401,276.85714285714283
Spain,2020-12-01,8257,8800.0,442,263.2857142857143
Spain,2020-12-02,9331,8672.714285714286,273,249.57142857142858
Spain,2020-12-03,10127,8363.857142857143,254,237.71428571428572
Spain,2020-12-04,8745,8062.714285714285,214,226.28571428571428
Spain,2020-12-05,0,8062.714285714285,0,226.28571428571428
Spain,2020-12-06,0,8062.714285714285,0,226.28571428571428
Spain,2020-12-07,17681,7734.428571428572,394,225.28571428571428
Spain,2020-12-08,0,6554.857142857143,0,162.14285714285714
Spain,2020-12-09,9773,6618.0,373,176.42857142857142
Spain,2020-12-10,7955,6307.714285714285,325,186.57142857142858
Spain,2020-12-11,10519,6561.142857142857,280,196.0
Spain,2020-12-12,0,6561.142857142857,0,196.0
Spain,2020-12-13,0,6561.142857142857,0,196.0
Spain,2020-12-14,21309,7079.428571428572,389,195.28571428571428
Spain,2020-12-15,10328,8554.857142857143,388,250.71428571428572
Spain,2020-12-16,11078,8741.285714285714,195,225.28571428571428
Spain,2020-12-17,12131,9337.857142857143,181,204.71428571428572
Spain,2020-12-18,11815,9523.0,149,186.0
Spain,2020-12-19,0,9523.0,0,186.0
Spain,2020-12-20,0,9523.0,0,186.0
Spain,2020-12-21,22013,9623.57142857143,334,178.14285714285714
Spain,2020-12-22,10654,9670.142857142857,260,159.85714285714286
Spain,2020-12-23,12386,9857.0,178,157.42857142857142
Spain,2020-12-24,12662,9932.857142857143,126,149.57142857142858
Spain,2020-12-25,0,8245.0,0,128.28571428571428
Spain,2020-12-26,0,8245.0,0,128.28571428571428
Spain,2020-12-27,0,8245.0,0,128.28571428571428
Spain,2020-12-28,24462,8594.857142857143,298,123.14285714285714
Spain,2020-12-29,14089,9085.57142857143,320,131.71428571428572
Spain,2020-12-30,16716,9704.142857142857,247,141.57142857142858
Spain,2020-12-31,18047,10473.42857142857,148,144.71428571428572
Spain,2021-01-01,0,10473.42857142857,0,144.71428571428572
Spain,2021-01-02,0,10473.42857142857,0,144.71428571428572
Spain,2021-01-03,0,10473.42857142857,0,144.71428571428572
Spain,2021-01-04,30579,11347.285714285714,241,136.57142857142858
Spain,2021-01-05,23700,12720.285714285714,352,141.14285714285714
Spain,2021-01-06,0,10332.285714285714,0,105.85714285714286
Spain,2021-01-07,42360,13805.57142857143,245,119.71428571428571
Spain,2021-01-08,25456,17442.14285714286,199,148.14285714285714
Spain,2021-01-09,0,17442.14285714286,0,148.14285714285714
Spain,2021-01-10,0,17442.14285714286,0,148.14285714285714
Spain,2021-01-11,61422,21848.285714285714,401,171.0
Spain,2021-01-12,25438,22096.571428571428,408,179.0
Spain,2021-01-13,38869,27649.285714285714,195,206.85714285714286
Spain,2021-01-14,35878,26723.285714285714,201,200.57142857142858
Spain,2021-01-15,40197,28829.14285714286,235,205.71428571428572
Spain,2021-01-16,0,28829.14285714286,0,205.71428571428572
Spain,2021-01-17,0,28829.14285714286,0,205.71428571428572
Spain,2021-01-18,84287,32095.571428571428,455,213.42857142857142
Spain,2021-01-19,34291,33360.28571428572,404,212.85714285714286
Spain,2021-01-20,41576,33747.0,464,251.28571428571428
Spain,2021-01-21,44357,34958.28571428572,404,280.2857142857143
Spain,2021-01-22,42885,35342.28571428572,400,303.85714285714283
Spain,2021-01-23,0,35342.28571428572,0,303.85714285714283
Spain,2021-01-24,0,35342.28571428572,0,303.85714285714283
Spain,2021-01-25,93822,36704.42857142857,767,348.42857142857144
Spain,2021-01-26,36435,37010.71428571428,586,374.42857142857144
Spain,2021-01-27,40285,36826.28571428572,497,379.14285714285717
Spain,2021-01-28,34899,35475.142857142855,515,395.0
Spain,2021-01-29,38118,34794.142857142855,513,411.14285714285717
Spain,2021-01-30,0,34794.142857142855,0,411.14285714285717
Spain,2021-01-31,0,34794.142857142855,0,411.14285714285717
Spain,2021-02-01,79686,32774.71428571428,762,410.42857142857144
Spain,2021-02-02,29064,31721.714285714286,724,430.14285714285717
Spain,2021-02-03,31596,30480.428571428572,565,439.85714285714283
Spain,2021-02-04,29960,29774.85714285714,432,428.0
Spain,2021-02-05,28565,28410.14285714286,584,438.14285714285717
Spain,2021-02-06,0,28410.14285714286,0,438.14285714285717
Spain,2021-02-07,0,28410.14285714286,0,438.14285714285717
Spain,2021-02-08,47095,23754.285714285714,909,459.14285714285717
Spain,2021-02-09,16402,21945.428571428572,766,465.14285714285717
Spain,2021-02-10,18114,20019.428571428572,643,476.2857142857143
Spain,2021-02-11,17853,18289.85714285714,513,487.85714285714283
Spain,2021-02-12,14581,16292.142857142857,530,480.14285714285717
Spain,2021-02-13,0,16292.142857142857,0,480.14285714285717
Spain,2021-02-14,0,16292.142857142857,0,480.14285714285717
Spain,2021-02-15,30251,13885.857142857143,702,450.57142857142856
Spain,2021-02-16,10057,12979.42857142857,530,416.85714285714283
Spain,2021-02-17,10829,11938.714285714286,337,373.14285714285717
Spain,2021-02-18,14515,11461.857142857143,388,355.2857142857143
Spain,2021-02-19,11435,11012.42857142857,397,336.2857142857143
Spain,2021-02-20,0,11012.42857142857,0,336.2857142857143
Spain,2021-02-21,0,11012.42857142857,0,336.2857142857143
Spain,2021-02-22,20849,9669.285714285714,535,312.42857142857144
Spain,2021-02-23,7461,9298.42857142857,443,300.0
Spain,2021-02-24,9212,9067.42857142857,389,307.42857142857144
Spain,2021-02-25,9568,8360.714285714286,345,301.2857142857143
Spain,2021-02-26,8341,7918.714285714285,329,291.57142857142856
Spain,2021-02-27,0,7918.714285714285,0,291.57142857142856
Spain,2021-02-28,0,7918.714285714285,0,291.57142857142856
Spain,2021-03-01,15978,7222.857142857143,467,281.85714285714283
Spain,2021-03-02,0,6157.0,192,246.0
Spain,2021-03-03,6137,5717.714285714285,446,254.14285714285714
Spain,2021-03-04,6037,5213.285714285715,254,241.14285714285714
Spain,2021-03-05,6654,4972.285714285715,637,285.14285714285717
Spain,2021-03-06,0,4972.285714285715,0,285.14285714285717
Spain,2021-03-07,0,4972.285714285715,0,285.14285714285717
Spain,2021-03-08,11958,4398.0,298,261.0
Spain,2021-03-09,4012,4971.142857142857,291,275.14285714285717
Spain,2021-03-10,7119,5111.428571428572,234,244.85714285714286
Spain,2021-03-11,6255,5142.571428571428,124,226.28571428571428
Spain,2021-03-12,5348,4956.0,173,160.0
Spain,2021-03-13,0,4956.0,0,160.0
Spain,2021-03-14,0,4956.0,0,160.0
Spain,2021-03-15,11358,4870.285714285715,166,141.14285714285714
Spain,2021-03-16,4962,5006.0,141,119.71428571428571
Spain,2021-03-17,6092,4859.285714285715,228,118.85714285714286
Spain,2021-03-18,6216,4853.714285714285,117,117.85714285714286
